brand,model,battery_capacity_(mah),screen_size_(inches),touchscreen,resolution_x,resolution_y,processor,ram_(mb),internal_storage_(gb),rear_camera,front_camera,operating_system,wi-fi,bluetooth,gps,number_of_sims,3g,4g/_lte,price,performance_c,cam_c,size_c,battery_c
OnePlus,7T Pro McLaren Edition,4085,6.67,Yes,1440,3120,8,12000,256.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,707.98,4,7,8,7
Realme,X2 Pro,4000,6.5,Yes,1080,2400,8,6000,64.0,64.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,335.99,5,6,8,7
Apple,iPhone 11 Pro Max,3969,6.5,Yes,1242,2688,6,4000,64.0,12.0,12.0,iOS,Yes,Yes,Yes,2,Yes,Yes,1282.8,5,5,8,7
Apple,iPhone 11,3110,6.1,Yes,828,1792,6,4000,64.0,12.0,12.0,iOS,Yes,Yes,Yes,2,Yes,Yes,754.8,5,5,6,5
LG,G8X ThinQ,4000,6.4,Yes,1080,2340,8,6000,128.0,12.0,32.0,Android,Yes,Yes,Yes,1,No,No,599.88,4,6,7,7
OnePlus,7T,3800,6.55,Yes,1080,2400,8,8000,128.0,48.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,419.16,4,7,8,7
OnePlus,7T Pro,4085,6.67,Yes,1440,3120,8,8000,256.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,635.88,4,7,8,7
Samsung,Galaxy Note 10+,4300,6.8,Yes,1440,3040,8,12000,256.0,12.0,10.0,Android,Yes,Yes,Yes,2,Yes,Yes,956.39,4,7,8,7
Asus,ROG Phone 2,6000,6.59,Yes,1080,2340,8,8000,128.0,48.0,24.0,Android,Yes,Yes,Yes,1,Yes,Yes,455.99,4,7,8,8
Xiaomi,Redmi K20 Pro,4000,6.39,Yes,1080,2340,8,6000,128.0,48.0,20.0,Android,Yes,Yes,Yes,2,No,No,278.28,4,6,7,7
Oppo,K3,3765,6.5,Yes,1080,2340,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,287.88,5,6,8,7
Realme,X,3765,6.53,Yes,1080,2340,8,4000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.99,5,5,8,7
Xiaomi,Redmi K20,4000,6.39,Yes,1080,2340,8,6000,64.0,48.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,231.38,5,6,7,7
OnePlus,7 Pro,4000,6.67,Yes,1440,3120,8,6000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,479.94,4,6,8,7
Oppo,Reno 10x Zoom,4065,6.6,Yes,1080,2340,8,6000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,443.88,4,6,8,7
Realme,3 Pro,4045,6.3,Yes,1080,2340,8,4000,64.0,16.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.99,5,5,7,7
Huawei,P30 Pro,4200,6.47,Yes,1080,2340,8,8000,256.0,40.0,32.0,Android,Yes,Yes,No,2,Yes,Yes,651.36,4,7,8,7
Xiaomi,Redmi Note 7 Pro,4000,6.3,Yes,1080,2340,8,4000,64.0,48.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,117.59,5,5,7,7
Huawei,Mate 20 Pro,4200,6.39,Yes,1440,3120,8,6000,128.0,40.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,767.88,4,6,7,7
LG,V40 ThinQ,3300,6.4,Yes,1440,3120,8,6000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99,4,6,7,6
OnePlus,6T,3700,6.41,Yes,1080,2340,8,6000,128.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,383.99,4,6,7,6
Apple,iPhone XR,2942,6.1,Yes,828,1792,6,3000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,2,Yes,Yes,545.99,6,5,6,5
Apple,iPhone XS Max,2658,6.5,Yes,1242,2688,6,4000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,2,Yes,Yes,839.99,5,5,8,4
Apple,iPhone XS,2658,5.8,Yes,1125,2436,6,4000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,2,Yes,Yes,719.99,5,5,6,4
Google,Pixel 3 XL,3430,6.3,Yes,1440,2960,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,575.88,5,5,7,6
Google,Pixel 3,2915,5.5,Yes,1080,2160,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,455.99,5,5,5,5
Asus,ROG Phone,4000,6.0,Yes,1080,2160,8,8000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,839.99,4,7,6,7
Samsung,Galaxy Note 9,4000,6.4,Yes,1440,2960,8,6000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,683.99,4,6,7,7
LG,G7+ ThinQ,3000,6.1,Yes,1440,3120,8,6000,128.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,455.99,4,6,6,5
Asus,ZenFone Max Pro M1,5000,5.99,Yes,1080,2160,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.88,6,4,6,8
Huawei,P20 Pro,4000,6.1,Yes,1080,2240,8,4000,64.0,40.0,24.0,Android,Yes,Yes,Yes,2,No,Yes,599.88,5,5,6,7
OnePlus,6,3300,6.28,Yes,1080,2280,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,419.99,5,6,7,6
Asus,ZenFone 5Z (ZS620KL),3300,6.2,Yes,1080,2246,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,227.99,5,5,7,6
Xiaomi,Redmi Note 5 Pro,4000,5.99,Yes,1080,2160,8,4000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,112.19,5,5,6,7
Nokia,7 Plus,3800,6.0,Yes,1080,2160,8,4000,64.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,144.0,5,5,6,7
Samsung,Galaxy S9+,3500,6.2,Yes,1440,2960,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99,5,6,7,6
Samsung,Galaxy S9,3000,5.8,Yes,1440,2960,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,323.99,5,5,6,5
HTC,U11+,3930,6.0,Yes,1440,2560,8,6000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,635.88,4,6,6,7
Samsung,Galaxy Note 8,3300,6.3,Yes,1440,2960,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,599.99,5,6,7,6
Apple,iPhone 8,1821,4.7,Yes,750,1334,6,2000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,443.99,6,4,3,2
Apple,iPhone 8 Plus,2691,5.5,Yes,1080,1920,6,3000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,564.0,6,5,5,4
Apple,iPhone X,2716,5.8,Yes,1125,2436,6,3000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,839.99,6,5,6,4
Motorola,Moto Z2 Force,2730,5.5,Yes,1440,2560,8,6000,64.0,12.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,251.99,5,6,5,4
HTC,U11,3000,5.5,Yes,1440,2560,8,6000,128.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,647.88,4,6,5,5
Nokia,8,3090,5.3,Yes,1440,2560,8,4000,64.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.93,5,5,5,5
Samsung,Galaxy S8+,3500,6.2,Yes,1440,2960,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,360.0,5,5,7,6
Samsung,Galaxy S8,3000,5.8,Yes,1440,2960,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,323.93,5,5,6,5
LG,G6,3300,5.7,Yes,1440,2880,1,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,287.88,1,2,5,6
OnePlus,3T,3400,5.5,Yes,1080,1920,4,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,239.99,3,3,5,6
Samsung,Galaxy C9 Pro,4000,6.0,Yes,1080,1920,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,No,Yes,203.99,5,6,6,7
Google,Pixel XL,3450,5.5,Yes,1440,2560,4,4000,32.0,12.3,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,371.88,3,3,5,6
Apple,iPhone 7 Plus,2900,5.5,Yes,1080,1920,4,3000,32.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,419.99,3,3,5,5
Apple,iPhone 7,1960,4.7,Yes,750,1334,4,2000,32.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,335.99,3,3,3,2
Honor,8,3000,5.2,Yes,1080,1920,8,4000,32.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,242.95,5,5,4,5
OnePlus,3,3000,5.5,Yes,1080,1920,4,6000,64.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,275.99,3,3,5,5
Asus,ZenFone 3 Deluxe (ZS570KL),3000,5.7,Yes,1080,1920,4,6000,256.0,23.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,539.99,4,7,5,5
Xiaomi,Mi 5,3000,5.15,Yes,1080,1920,4,3000,32.0,16.0,4.0,Android,Yes,Yes,Yes,2,Yes,Yes,299.99,3,3,4,5
Samsung,Galaxy S7 Edge,3600,5.5,Yes,1440,2560,8,4000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,479.95,5,5,5,6
Samsung,Galaxy S7,3000,5.1,Yes,1440,2560,8,4000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,287.99,5,5,4,5
Motorola,Moto X Force,3760,5.4,Yes,1440,2560,8,3000,32.0,21.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,83.93,6,4,5,7
Huawei,Google Nexus 6P,3450,5.7,Yes,1440,2560,8,3000,32.0,12.3,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,515.98,6,4,5,6
Apple,iPhone 6s Plus,2750,5.5,Yes,1080,1920,1,2000,16.0,12.0,5.0,iOS,Yes,Yes,Yes,1,Yes,Yes,311.88,1,2,5,4
Yu,reka Plus,2500,5.5,Yes,1080,1920,8,2000,16.0,13.0,5.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,71.94,6,4,5,4
Samsung,Galaxy A8,3050,5.7,Yes,1080,1920,8,2000,32.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,87.59,6,4,5,5
Samsung,Galaxy S6,2550,5.1,Yes,1440,2560,8,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,311.99,6,4,4,4
Yu,reka,2500,5.5,Yes,720,1280,8,2000,16.0,13.0,5.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,47.99,6,4,5,4
Xiaomi,Redmi Note,3100,5.5,Yes,720,1280,8,2000,8.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,No,95.99,6,4,5,5
Realme,C3,5000,6.52,Yes,720,1600,8,3000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99,6,4,8,8
Poco,X2,4500,6.67,Yes,1080,2400,8,6000,64.0,64.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.99,5,6,8,8
Samsung,Galaxy S10 Lite,4500,6.7,Yes,1080,2400,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,1,No,No,479.99,4,7,8,8
Realme,5i,5000,6.52,Yes,720,1600,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99,5,5,8,8
Samsung,Galaxy Note 10 Lite,4500,6.7,Yes,1080,2400,8,6000,128.0,12.0,32.0,Android,Yes,Yes,Yes,1,No,No,467.99,4,6,8,8
Vivo,V17,4500,6.44,Yes,1080,2400,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,253.8,4,7,7,8
