brand,model,battery_capacity_(mah),screen_size_(inches),touchscreen,resolution_x,resolution_y,processor,ram_(mb),internal_storage_(gb),rear_camera,front_camera,operating_system,wi-fi,bluetooth,gps,number_of_sims,3g,4g/_lte,price,performance_c,cam_c,size_c,battery_t,url
OnePlus,7T Pro McLaren Edition,4085,6.67,Yes,1440,3120,8,12000,256.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,707.98,5,3,3,4,https://www.amazon.com/s?k=OnePlus+7T+Pro+McLaren+Edition
Realme,X2 Pro,4000,6.5,Yes,1080,2400,8,6000,64.0,64.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,335.99,3,2,2,3,https://www.amazon.com/s?k=Realme+X2+Pro
Apple,iPhone 11 Pro Max,3969,6.5,Yes,1242,2688,6,4000,64.0,12.0,12.0,iOS,Yes,Yes,Yes,2,Yes,Yes,1282.8,3,2,2,3,https://www.amazon.com/s?k=Apple+iPhone+11+Pro+Max
Apple,iPhone 11,3110,6.1,Yes,828,1792,6,4000,64.0,12.0,12.0,iOS,Yes,Yes,Yes,2,Yes,Yes,754.8,3,2,2,3,https://www.amazon.com/s?k=Apple+iPhone+11
LG,G8X ThinQ,4000,6.4,Yes,1080,2340,8,6000,128.0,12.0,32.0,Android,Yes,Yes,Yes,1,No,No,599.88,4,3,3,3,https://www.amazon.com/s?k=LG+G8X+ThinQ
OnePlus,7T,3800,6.55,Yes,1080,2400,8,8000,128.0,48.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,419.16,4,3,3,3,https://www.amazon.com/s?k=OnePlus+7T
OnePlus,7T Pro,4085,6.67,Yes,1440,3120,8,8000,256.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,635.88,5,3,3,4,https://www.amazon.com/s?k=OnePlus+7T+Pro
Samsung,Galaxy Note 10+,4300,6.8,Yes,1440,3040,8,12000,256.0,12.0,10.0,Android,Yes,Yes,Yes,2,Yes,Yes,956.39,5,3,3,4,https://www.amazon.com/s?k=Samsung+Galaxy+Note+10+
Asus,ROG Phone 2,6000,6.59,Yes,1080,2340,8,8000,128.0,48.0,24.0,Android,Yes,Yes,Yes,1,Yes,Yes,455.99,4,3,3,5,https://www.amazon.com/s?k=Asus+ROG+Phone+2
Xiaomi,Redmi K20 Pro,4000,6.39,Yes,1080,2340,8,6000,128.0,48.0,20.0,Android,Yes,Yes,Yes,2,No,No,278.28,4,3,3,3,https://www.amazon.com/s?k=Xiaomi+Redmi+K20+Pro
