brand,model,battery_capacity_(mah),screen_size_(inches),touchscreen,resolution_x,resolution_y,processor,ram_(mb),internal_storage_(gb),rear_camera,front_camera,operating_system,wi-fi,bluetooth,gps,number_of_sims,3g,4g/_lte,price
OnePlus,7T Pro McLaren Edition,4085,6.67,Yes,1440,3120,8,12000,256.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,707.98
Realme,X2 Pro,4000,6.5,Yes,1080,2400,8,6000,64.0,64.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,335.99
Apple,iPhone 11 Pro Max,3969,6.5,Yes,1242,2688,6,4000,64.0,12.0,12.0,iOS,Yes,Yes,Yes,2,Yes,Yes,1282.80
Apple,iPhone 11,3110,6.1,Yes,828,1792,6,4000,64.0,12.0,12.0,iOS,Yes,Yes,Yes,2,Yes,Yes,754.80
LG,G8X ThinQ,4000,6.4,Yes,1080,2340,8,6000,128.0,12.0,32.0,Android,Yes,Yes,Yes,1,No,No,599.88
OnePlus,7T,3800,6.55,Yes,1080,2400,8,8000,128.0,48.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,419.16
OnePlus,7T Pro,4085,6.67,Yes,1440,3120,8,8000,256.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,635.88
Samsung,Galaxy Note 10+,4300,6.8,Yes,1440,3040,8,12000,256.0,12.0,10.0,Android,Yes,Yes,Yes,2,Yes,Yes,956.39
Asus,ROG Phone 2,6000,6.59,Yes,1080,2340,8,8000,128.0,48.0,24.0,Android,Yes,Yes,Yes,1,Yes,Yes,455.99
Xiaomi,Redmi K20 Pro,4000,6.39,Yes,1080,2340,8,6000,128.0,48.0,20.0,Android,Yes,Yes,Yes,2,No,No,278.28
Oppo,K3,3765,6.5,Yes,1080,2340,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,287.88
Realme,X,3765,6.53,Yes,1080,2340,8,4000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.99
Xiaomi,Redmi K20,4000,6.39,Yes,1080,2340,8,6000,64.0,48.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,231.38
OnePlus,7 Pro,4000,6.67,Yes,1440,3120,8,6000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,479.94
Oppo,Reno 10x Zoom,4065,6.6,Yes,1080,2340,8,6000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,443.88
Realme,3 Pro,4045,6.3,Yes,1080,2340,8,4000,64.0,16.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.99
Huawei,P30 Pro,4200,6.47,Yes,1080,2340,8,8000,256.0,40.0,32.0,Android,Yes,Yes,No,2,Yes,Yes,651.36
Xiaomi,Redmi Note 7 Pro,4000,6.3,Yes,1080,2340,8,4000,64.0,48.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,117.59
Huawei,Mate 20 Pro,4200,6.39,Yes,1440,3120,8,6000,128.0,40.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,767.88
LG,V40 ThinQ,3300,6.4,Yes,1440,3120,8,6000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99
OnePlus,6T,3700,6.41,Yes,1080,2340,8,6000,128.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,383.99
Apple,iPhone XR,2942,6.1,Yes,828,1792,6,3000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,2,Yes,Yes,545.99
Apple,iPhone XS Max,2658,6.5,Yes,1242,2688,6,4000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,2,Yes,Yes,839.99
Apple,iPhone XS,2658,5.8,Yes,1125,2436,6,4000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,2,Yes,Yes,719.99
Google,Pixel 3 XL,3430,6.3,Yes,1440,2960,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,575.88
Google,Pixel 3,2915,5.5,Yes,1080,2160,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,455.99
Asus,ROG Phone,4000,6.0,Yes,1080,2160,8,8000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,839.99
Samsung,Galaxy Note 9,4000,6.4,Yes,1440,2960,8,6000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,683.99
LG,G7+ ThinQ,3000,6.1,Yes,1440,3120,8,6000,128.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,455.99
Asus,ZenFone Max Pro M1,5000,5.99,Yes,1080,2160,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.88
Huawei,P20 Pro,4000,6.1,Yes,1080,2240,8,4000,64.0,40.0,24.0,Android,Yes,Yes,Yes,2,No,Yes,599.88
OnePlus,6,3300,6.28,Yes,1080,2280,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,419.99
Asus,ZenFone 5Z (ZS620KL),3300,6.2,Yes,1080,2246,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,227.99
Xiaomi,Redmi Note 5 Pro,4000,5.99,Yes,1080,2160,8,4000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,112.19
Nokia,7 Plus,3800,6.0,Yes,1080,2160,8,4000,64.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,144.00
Samsung,Galaxy S9+,3500,6.2,Yes,1440,2960,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99
Samsung,Galaxy S9,3000,5.8,Yes,1440,2960,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,323.99
HTC,U11+,3930,6.0,Yes,1440,2560,8,6000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,635.88
Samsung,Galaxy Note 8,3300,6.3,Yes,1440,2960,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,599.99
Apple,iPhone 8,1821,4.7,Yes,750,1334,6,2000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,443.99
Apple,iPhone 8 Plus,2691,5.5,Yes,1080,1920,6,3000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,564.00
Apple,iPhone X,2716,5.8,Yes,1125,2436,6,3000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,839.99
Motorola,Moto Z2 Force,2730,5.5,Yes,1440,2560,8,6000,64.0,12.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,251.99
HTC,U11,3000,5.5,Yes,1440,2560,8,6000,128.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,647.88
Nokia,8,3090,5.3,Yes,1440,2560,8,4000,64.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.93
