name,brand,model,battery_capacity_(mah),screen_size_(inches),touchscreen,resolution_x,resolution_y,processor,ram_(mb),internal_storage_(gb),rear_camera,front_camera,operating_system,wi-fi,bluetooth,gps,number_of_sims,3g,4g/_lte,price,price_ranges,screen_size_range,battery_capacity_range,rear_camera_range
OnePlus 7T Pro McLaren Edition,OnePlus,7T Pro McLaren Edition,4085,6.67,Yes,1440,3120,8,12000,256.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,707.98,600-800€,6+(inches),3500-4500(mah),32-48(mp)
Realme X2 Pro,Realme,X2 Pro,4000,6.5,Yes,1080,2400,8,6000,64.0,64.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,335.99,200-400€,6+(inches),3500-4500(mah),48-64(mp)
iPhone 11 Pro Max,Apple,iPhone 11 Pro Max,3969,6.5,Yes,1242,2688,6,4000,64.0,12.0,12.0,iOS,Yes,Yes,Yes,2,Yes,Yes,1282.8,1000+€,6+(inches),3500-4500(mah),0-24(mp)
iPhone 11,Apple,iPhone 11,3110,6.1,Yes,828,1792,6,4000,64.0,12.0,12.0,iOS,Yes,Yes,Yes,2,Yes,Yes,754.8,600-800€,6+(inches),3000-3500(mah),0-24(mp)
LG G8X ThinQ,LG,G8X ThinQ,4000,6.4,Yes,1080,2340,8,6000,128.0,12.0,32.0,Android,Yes,Yes,Yes,1,No,No,599.88,400-600€,6+(inches),3500-4500(mah),0-24(mp)
OnePlus 7T,OnePlus,7T,3800,6.55,Yes,1080,2400,8,8000,128.0,48.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,419.16,400-600€,6+(inches),3500-4500(mah),32-48(mp)
OnePlus 7T Pro,OnePlus,7T Pro,4085,6.67,Yes,1440,3120,8,8000,256.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,635.88,600-800€,6+(inches),3500-4500(mah),32-48(mp)
Samsung Galaxy Note 10+,Samsung,Galaxy Note 10+,4300,6.8,Yes,1440,3040,8,12000,256.0,12.0,10.0,Android,Yes,Yes,Yes,2,Yes,Yes,956.39,800-1000€,6+(inches),3500-4500(mah),0-24(mp)
Asus ROG Phone 2,Asus,ROG Phone 2,6000,6.59,Yes,1080,2340,8,8000,128.0,48.0,24.0,Android,Yes,Yes,Yes,1,Yes,Yes,455.99,400-600€,6+(inches),4500-6000(mah),32-48(mp)
Xiaomi Redmi K20 Pro,Xiaomi,Redmi K20 Pro,4000,6.39,Yes,1080,2340,8,6000,128.0,48.0,20.0,Android,Yes,Yes,Yes,2,No,No,278.28,200-400€,6+(inches),3500-4500(mah),32-48(mp)
Oppo K3,Oppo,K3,3765,6.5,Yes,1080,2340,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,287.88,200-400€,6+(inches),3500-4500(mah),0-24(mp)
Realme X,Realme,X,3765,6.53,Yes,1080,2340,8,4000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.99,<200€,6+(inches),3500-4500(mah),32-48(mp)
Xiaomi Redmi K20,Xiaomi,Redmi K20,4000,6.39,Yes,1080,2340,8,6000,64.0,48.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,231.38,200-400€,6+(inches),3500-4500(mah),32-48(mp)
OnePlus 7 Pro,OnePlus,7 Pro,4000,6.67,Yes,1440,3120,8,6000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,479.94,400-600€,6+(inches),3500-4500(mah),32-48(mp)
Oppo Reno 10x Zoom,Oppo,Reno 10x Zoom,4065,6.6,Yes,1080,2340,8,6000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,443.88,400-600€,6+(inches),3500-4500(mah),32-48(mp)
Realme 3 Pro,Realme,3 Pro,4045,6.3,Yes,1080,2340,8,4000,64.0,16.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.99,<200€,6+(inches),3500-4500(mah),0-24(mp)
Huawei P30 Pro,Huawei,P30 Pro,4200,6.47,Yes,1080,2340,8,8000,256.0,40.0,32.0,Android,Yes,Yes,No,2,Yes,Yes,651.36,600-800€,6+(inches),3500-4500(mah),32-48(mp)
Redmi Note 7 Pro,Xiaomi,Redmi Note 7 Pro,4000,6.3,Yes,1080,2340,8,4000,64.0,48.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,117.59,<200€,6+(inches),3500-4500(mah),32-48(mp)
Huawei Mate 20 Pro,Huawei,Mate 20 Pro,4200,6.39,Yes,1440,3120,8,6000,128.0,40.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,767.88,600-800€,6+(inches),3500-4500(mah),32-48(mp)
LG V40 ThinQ,LG,V40 ThinQ,3300,6.4,Yes,1440,3120,8,6000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99,200-400€,6+(inches),3000-3500(mah),0-24(mp)
OnePlus 6T,OnePlus,6T,3700,6.41,Yes,1080,2340,8,6000,128.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,383.99,200-400€,6+(inches),3500-4500(mah),0-24(mp)
Apple iPhone XR,Apple,iPhone XR,2942,6.1,Yes,828,1792,6,3000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,2,Yes,Yes,545.99,400-600€,6+(inches),2300-3000(mah),0-24(mp)
Apple iPhone XS Max,Apple,iPhone XS Max,2658,6.5,Yes,1242,2688,6,4000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,2,Yes,Yes,839.99,800-1000€,6+(inches),2300-3000(mah),0-24(mp)
Apple iPhone XS,Apple,iPhone XS,2658,5.8,Yes,1125,2436,6,4000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,2,Yes,Yes,719.99,600-800€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Google Pixel 3 XL,Google,Pixel 3 XL,3430,6.3,Yes,1440,2960,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,575.88,400-600€,6+(inches),3000-3500(mah),0-24(mp)
Google Pixel 3,Google,Pixel 3,2915,5.5,Yes,1080,2160,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,455.99,400-600€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Asus ROG Phone,Asus,ROG Phone,4000,6.0,Yes,1080,2160,8,8000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,839.99,800-1000€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Samsung Galaxy Note 9,Samsung,Galaxy Note 9,4000,6.4,Yes,1440,2960,8,6000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,683.99,600-800€,6+(inches),3500-4500(mah),0-24(mp)
LG G7+ ThinQ,LG,G7+ ThinQ,3000,6.1,Yes,1440,3120,8,6000,128.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,455.99,400-600€,6+(inches),2300-3000(mah),0-24(mp)
Asus ZenFone Max Pro M1,Asus,ZenFone Max Pro M1,5000,5.99,Yes,1080,2160,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.88,<200€,5.0-6.0(inches),4500-6000(mah),0-24(mp)
Huawei P20 Pro,Huawei,P20 Pro,4000,6.1,Yes,1080,2240,8,4000,64.0,40.0,24.0,Android,Yes,Yes,Yes,2,No,Yes,599.88,400-600€,6+(inches),3500-4500(mah),32-48(mp)
OnePlus 6,OnePlus,6,3300,6.28,Yes,1080,2280,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,419.99,400-600€,6+(inches),3000-3500(mah),0-24(mp)
